date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2002-12-01,763.3,2345.0,8143.8,75.2,615.6,13328.2,2002,12,4,-2.4492935982947064e-16,1.0,25271.1,25440.300000000003,23423.6,23477.0,23434.1,24807.433333333334,24102.8,24115.375,3,0,0,1,0,0
2003-01-01,959.5,2941.0,9439.2,75.1,714.7,15930.0,2003,1,1,0.49999999999999994,0.8660254037844387,30059.5,25271.1,23710.9,23264.6,25286.6,26923.63333333333,25235.283333333336,24513.116666666665,0,4,3,0,0,0
2003-02-01,874.4,2598.5,8367.1,75.1,664.5,13048.9,2003,2,1,0.8660254037844386,0.5000000000000001,25628.5,30059.5,25440.300000000003,23506.3,24644.8,26986.36666666667,25588.983333333337,24595.091666666664,4,1,0,0,1,0
2003-03-01,806.0,2458.7,8229.8,75.0,624.4,13307.8,2003,3,1,1.0,6.123233995736766e-17,25501.699999999997,25628.5,25271.1,23423.6,23690.9,27063.233333333334,25935.333333333332,24745.99166666667,1,0,4,0,0,0
2003-04-01,763.5,2387.2,8193.8,74.9,601.3,13235.7,2003,4,2,0.8660254037844387,-0.4999999999999998,25256.4,25501.699999999997,30059.5,23710.9,23597.800000000003,25462.2,26192.916666666668,24884.208333333332,0,3,1,0,0,0
2003-05-01,743.7,2374.4,8379.4,74.9,591.9,13569.5,2003,5,2,0.49999999999999994,-0.8660254037844387,25733.800000000003,25256.4,25628.5,25440.300000000003,24070.600000000002,25497.3,26241.833333333332,25022.808333333334,3,1,0,0,0,0
2003-06-01,732.3,2362.0,8310.6,74.8,587.4,13433.3,2003,6,2,1.2246467991473532e-16,-1.0,25500.4,25733.800000000003,25501.699999999997,25271.1,23477.0,25496.86666666667,26280.050000000003,25191.425,1,0,3,0,0,0
2003-07-01,723.7,2346.0,8274.9,74.7,582.7,13326.7,2003,7,3,-0.4999999999999997,-0.8660254037844388,25328.699999999997,25500.4,25256.4,30059.5,23264.6,25520.966666666664,25491.583333333332,25363.433333333334,0,1,1,0,0,0
2003-08-01,721.6,2377.7,8397.0,74.6,582.2,13881.8,2003,8,3,-0.8660254037844384,-0.5000000000000004,26034.899999999998,25328.699999999997,25733.800000000003,25628.5,23506.3,25621.333333333332,25559.316666666666,25574.149999999998,1,1,0,0,0,0
2003-09-01,722.8,2372.1,8439.0,74.6,582.4,13739.7,2003,9,3,-1.0,-1.8369701987210297e-16,25930.6,26034.899999999998,25500.4,25501.699999999997,23423.6,25764.733333333334,25630.8,25783.066666666666,1,0,1,0,0,0
2003-10-01,731.8,2374.2,8494.8,74.5,585.4,13855.8,2003,10,4,-0.8660254037844386,0.5000000000000001,26116.499999999996,25930.6,25328.699999999997,25256.4,23710.9,26027.333333333332,25774.149999999998,25983.53333333333,0,2,1,0,0,0
2003-11-01,904.7,2611.7,8981.7,74.5,697.7,15813.4,2003,11,4,-0.5000000000000004,0.8660254037844384,29083.7,26116.499999999996,26034.899999999998,25733.800000000003,25440.300000000003,27043.600000000002,26332.466666666664,26287.149999999998,2,1,0,1,0,0
2003-12-01,872.5,2454.9,8854.9,74.4,671.5,14665.3,2003,12,4,-2.4492935982947064e-16,1.0,27593.5,29083.7,25930.6,25500.4,25271.1,27597.899999999998,26681.316666666666,26480.683333333334,1,2,2,0,0,0
2004-01-01,1075.9,3001.8,9694.2,74.4,786.9,16566.9,2004,1,1,0.49999999999999994,0.8660254037844387,31200.100000000002,27593.5,26116.499999999996,25328.699999999997,30059.5,29292.433333333334,27659.883333333335,26575.733333333334,2,2,1,0,1,0
2004-02-01,968.1,2701.7,9154.3,74.3,721.9,14988.2,2004,2,1,0.8660254037844386,0.5000000000000001,28608.5,31200.100000000002,29083.7,26034.899999999998,25628.5,29134.033333333336,28088.816666666666,26824.066666666666,2,0,2,0,0,0
2004-03-01,901.5,2579.4,9369.4,74.2,681.5,15045.3,2004,3,1,1.0,6.123233995736766e-17,28651.299999999996,28608.5,27593.5,25930.6,25501.699999999997,29486.63333333333,28542.266666666666,27086.533333333336,0,0,2,0,0,0
2004-04-01,868.6,2537.6,9339.4,74.2,659.0,15693.7,2004,4,2,0.8660254037844387,-0.4999999999999998,29172.5,28651.299999999996,31200.100000000002,26116.499999999996,25256.4,28810.766666666663,29051.600000000002,27412.875,0,4,0,0,0,0
2004-05-01,848.8,2501.9,9186.5,74.2,644.2,15406.2,2004,5,2,0.49999999999999994,-0.8660254037844387,28661.8,29172.5,28608.5,29083.7,25733.800000000003,28828.53333333333,28981.28333333333,27656.875,4,1,0,0,0,0
2004-06-01,834.9,2472.3,9092.7,74.1,634.8,14923.9,2004,6,2,1.2246467991473532e-16,-1.0,28032.7,28661.8,28651.299999999996,27593.5,25500.4,28622.333333333332,29054.483333333334,27867.899999999994,1,0,4,0,0,0
2004-07-01,826.7,2476.1,9074.9,74.1,625.8,15134.4,2004,7,3,-0.4999999999999997,-0.8660254037844388,28212.0,28032.7,29172.5,31200.100000000002,25328.699999999997,28302.166666666668,28556.466666666664,28108.175,0,1,1,0,0,0
2004-08-01,822.4,2476.6,9226.2,74.0,618.7,15521.7,2004,8,3,-0.8660254037844384,-0.5000000000000004,28739.600000000002,28212.0,28661.8,28608.5,26034.899999999998,28328.100000000002,28578.316666666666,28333.566666666666,1,0,0,0,0,0
