date,year,month,quarter,month_sin,month_cos,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12
2002-02-01,2002,2,1,0.8660254037844386,0.5000000000000001,3,1,0,0,1,0,25286.6,22589.6,22051.2,21991.0,24455.166666666668,23294.216666666664,22443.216666666664
2002-03-01,2002,3,1,1.0,6.123233995736766e-17,1,0,3,0,0,0,24644.8,23434.1,21962.8,21638.300000000003,24540.766666666666,23582.233333333334,22614.266666666666
2002-04-01,2002,4,2,0.8660254037844387,-0.4999999999999998,0,3,1,0,0,0,23690.9,25286.6,21847.4,21547.7,23977.833333333332,23873.966666666664,22785.108333333334
2002-05-01,2002,5,2,0.49999999999999994,-0.8660254037844387,3,1,0,0,0,0,23597.800000000003,24644.8,22589.6,21702.4,23786.433333333334,24120.800000000003,22982.458333333332
2002-06-01,2002,6,2,1.2246467991473532e-16,-1.0,1,0,3,0,0,0,24070.600000000002,23690.9,23434.1,21316.5,23715.133333333335,24127.95,23162.5
2002-07-01,2002,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,23477.0,23597.800000000003,25286.6,21297.2,23604.066666666666,23790.95,23326.449999999997
2002-08-01,2002,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,23264.6,24070.600000000002,24644.8,22051.2,23415.966666666664,23601.2,23447.708333333332
2002-09-01,2002,9,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,23506.3,23477.0,23690.9,21962.8,23398.166666666668,23556.650000000005,23569.441666666666
2002-10-01,2002,10,4,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,23423.6,23264.6,23597.800000000003,21847.4,23546.933333333334,23575.5,23724.733333333334
2002-11-01,2002,11,4,-0.5000000000000004,0.8660254037844384,0,3,0,0,0,0,23710.9,23506.3,24070.600000000002,22589.6,24191.600000000002,23803.783333333336,23962.291666666668
2002-12-01,2002,12,4,-2.4492935982947064e-16,1.0,3,0,0,1,0,0,25440.300000000003,23423.6,23477.0,23434.1,24807.433333333334,24102.8,24115.375
2003-01-01,2003,1,1,0.49999999999999994,0.8660254037844387,0,4,3,0,0,0,25271.1,23710.9,23264.6,25286.6,26923.63333333333,25235.283333333336,24513.116666666665
2003-02-01,2003,2,1,0.8660254037844386,0.5000000000000001,4,1,0,0,1,0,30059.5,25440.300000000003,23506.3,24644.8,26986.36666666667,25588.983333333337,24595.091666666664
2003-03-01,2003,3,1,1.0,6.123233995736766e-17,1,0,4,0,0,0,25628.5,25271.1,23423.6,23690.9,27063.233333333334,25935.333333333332,24745.99166666667
