date,model,denomination_code,denomination,denomination_value,actual_value_rm_million,forecast_value_rm_million,actual_quantity_million_notes,forecast_quantity_million_notes,error_value_rm_million,absolute_error_value_rm_million,percentage_error
2025-04-01,SMA,note_1,RM1,1,3509.8866375,3354.996817333333,3509.8866375,3354.996817333333,154.8898201666666,154.8898201666666,0.0441295791470321
2025-05-01,SMA,note_1,RM1,1,3438.3736465,3454.5366461666667,3438.3736465,3454.5366461666667,-16.162999666666565,16.162999666666565,0.0047007688309614794
2025-06-01,SMA,note_1,RM1,1,3383.6197155,3490.5678515,3383.6197155,3490.5678515,-106.94813599999998,106.94813599999998,0.03160761107700195
2025-07-01,SMA,note_1,RM1,1,3318.2309045,3443.9599998333338,3318.2309045,3443.9599998333338,-125.72909533333359,125.72909533333359,0.03789039971956948
2025-08-01,SMA,note_1,RM1,1,3261.222365,3380.0747555000003,3261.222365,3380.0747555000003,-118.85239050000018,118.85239050000018,0.0364441234598243
2025-09-01,SMA,note_1,RM1,1,3233.2349375,3321.0243283333334,3233.2349375,3321.0243283333334,-87.78939083333353,87.78939083333353,0.027152184276845032
2025-10-01,SMA,note_1,RM1,1,3217.2711135,3270.896069,3217.2711135,3270.896069,-53.62495549999994,53.62495549999994,0.016667838552674074
2025-11-01,SMA,note_1,RM1,1,3201.43262,3237.2428053333333,3201.43262,3237.2428053333333,-35.810185333333266,35.810185333333266,0.011185675159808069
2025-12-01,SMA,note_1,RM1,1,3245.5476715,3217.312890333333,3245.5476715,3217.312890333333,28.234781166666835,28.234781166666835,0.008699542889048837
2026-01-01,SMA,note_1,RM1,1,3423.6235415,3221.417135,3423.6235415,3221.417135,202.20640649999996,202.20640649999996,0.05906210307556385
2026-02-01,SMA,note_1,RM1,1,3564.366069,3290.2012776666666,3564.366069,3290.2012776666666,274.1647913333336,274.1647913333336,0.07691824745998994
2021-02-01,SMA,note_5,RM5,5,2732.4145775,2594.2728041666664,546.4829155,518.8545608333333,138.14177333333373,138.14177333333373,0.050556666792388946
2021-03-01,SMA,note_5,RM5,5,2691.967875,2667.94433,538.3935749999999,533.5888659999999,24.023545000000013,24.023545000000013,0.008924157388022326
2021-04-01,SMA,note_5,RM5,5,2898.37506,2726.0863091666665,579.6750119999999,545.2172618333333,172.28875083333332,172.28875083333332,0.05944322155233192
2021-05-01,SMA,note_5,RM5,5,2894.997075,2774.2525041666668,578.999415,554.8505008333334,120.74457083333346,120.74457083333346,0.04170801133998847
2021-06-01,SMA,note_5,RM5,5,2848.26866,2828.44667,569.653732,565.6893339999999,19.82199000000037,19.82199000000037,0.006959311907044741
2021-07-01,SMA,note_5,RM5,5,2808.536295,2880.5469316666663,561.707259,576.1093863333333,-72.01063666666641,72.01063666666641,0.025639916704963364
2021-08-01,SMA,note_5,RM5,5,2776.11333,2850.6006766666665,555.222666,570.1201353333333,-74.48734666666633,74.48734666666633,0.02683152228034809
2021-09-01,SMA,note_5,RM5,5,2748.2739975,2810.9727616666664,549.6547995,562.1945523333333,-62.69876416666648,62.69876416666648,0.022813869440856754
2021-10-01,SMA,note_5,RM5,5,2734.5997,2777.6412075000003,546.91994,555.5282415,-43.04150750000008,43.04150750000008,0.015739600753997038
2021-11-01,SMA,note_5,RM5,5,2727.0057325,2752.9956758333333,545.4011465,550.5991351666667,-25.989943333333485,25.989943333333485,0.009530578914297712
2021-12-01,SMA,note_5,RM5,5,2821.61233,2736.626476666667,564.322466,547.3252953333333,84.98585333333313,84.98585333333313,0.030119606591502642
2022-01-01,SMA,note_5,RM5,5,2997.88893,2761.0725875000003,599.5777860000001,552.2145175,236.8163424999998,236.8163424999998,0.07899436838041887
2022-02-01,SMA,note_5,RM5,5,2967.83837,2848.8356641666664,593.567674,569.7671328333333,119.0027058333335,119.0027058333335,0.04009743489950684
2022-03-01,SMA,note_5,RM5,5,3003.223285,2929.1132099999995,600.644657,585.8226419999999,74.1100750000005,74.1100750000005,0.024676844832068657
2022-04-01,SMA,note_5,RM5,5,3184.461155,2989.6501949999997,636.892231,597.930039,194.81096000000025,194.81096000000025,0.06117548637518244
2022-05-01,SMA,note_5,RM5,5,3179.3609325,3051.840936666667,635.8721865,610.3681873333334,127.51999583333327,127.51999583333327,0.04010868804790324
